,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-3.37,-7.00,-2.42,3.51,8.92,13.65,18.26,15.18,11.20,7.16,-2.01,-5.77
1902,-3.49,-5.35,-3.23,1.76,5.95,12.00,12.39,11.96,7.92,2.25,-1.13,-4.13
1903,-5.04,-0.35,1.91,1.90,7.80,12.23,13.79,12.76,9.72,1.25,-1.08,-2.33
1904,-1.29,-7.68,-2.38,3.35,6.77,12.37,14.46,13.38,9.78,4.74,-3.18,-4.76
1905,-4.43,-2.67,-0.25,0.83,8.15,14.62,15.38,13.48,8.91,0.62,-1.58,-0.34
1906,-2.67,-3.30,-2.91,3.54,8.18,13.42,14.97,13.19,9.73,4.62,1.02,-3.52
1907,-4.73,-2.69,0.86,3.35,6.56,12.58,13.75,11.44,8.39,6.78,0.97,-4.58
1908,-2.64,-2.39,-2.33,2.53,7.15,12.23,15.54,14.13,9.09,5.92,-2.52,-1.36
1909,-0.94,-4.67,-4.01,0.83,5.60,12.42,14.35,12.99,9.15,5.87,-3.35,-3.92
1910,-4.36,-0.36,0.27,2.77,9.05,13.24,14.69,14.17,9.72,3.76,-2.40,-2.71
1911,-2.66,-2.79,-0.84,2.49,10.05,12.36,14.75,15.71,10.13,2.18,-1.73,0.04
1912,-7.31,-6.07,0.27,2.00,7.30,13.35,16.82,14.06,8.14,2.94,-1.33,-1.48
1913,-6.32,-1.65,0.39,3.73,8.62,12.63,16.01,13.90,9.74,3.87,2.02,-4.12
1914,-4.47,-0.73,-1.30,4.16,7.15,13.43,18.10,14.66,9.86,3.75,-1.04,-1.38
1915,-6.01,-3.81,-3.57,2.80,6.18,10.82,14.83,13.63,8.16,2.25,-3.53,-10.08
1916,-2.40,-3.25,-3.55,3.11,7.02,12.09,16.75,12.97,8.41,2.02,1.50,-2.83
1917,-9.08,-5.51,-4.33,-0.01,6.82,14.61,14.31,16.63,9.30,3.78,-0.47,-4.59
1918,-7.05,-2.91,0.39,3.50,9.07,11.44,15.89,13.77,8.21,5.06,2.17,-3.29
1919,-3.04,-6.31,-2.18,1.61,10.64,12.86,16.58,12.06,9.77,3.22,-4.67,-5.92
1920,-3.63,-0.44,2.57,3.26,9.18,13.17,15.12,13.20,10.29,4.36,1.13,-2.74
1921,-3.77,-2.27,1.71,6.12,9.50,11.36,13.92,13.27,8.99,4.56,-2.76,-1.58
1922,-6.08,-5.03,-1.98,2.04,7.81,12.85,15.05,13.38,9.64,3.31,-0.05,-2.30
1923,-1.08,-6.32,0.18,1.74,5.84,8.74,14.88,11.96,8.78,3.92,-2.00,-4.85
1924,-3.89,-5.87,-3.84,0.89,6.50,10.55,15.31,15.25,10.46,5.70,0.73,1.04
1925,0.45,-1.92,-3.19,4.06,8.24,12.56,18.48,14.87,9.63,2.26,-3.76,-5.67
1926,-5.16,-5.32,-0.46,3.41,7.16,12.88,16.07,14.60,9.36,0.66,0.57,-3.44
1927,-3.37,-2.61,-0.01,0.93,5.16,10.60,17.34,15.14,9.08,2.70,-4.02,-6.63
1928,-3.70,-2.61,-0.60,3.54,7.42,10.17,12.22,13.19,8.99,3.35,-1.16,-3.81
1929,-5.62,-7.58,1.20,-0.06,8.32,11.34,13.45,12.45,9.94,4.17,1.15,1.26
1930,-0.15,-2.45,-0.81,4.09,9.16,14.24,16.76,15.62,8.68,4.66,-0.28,-0.96
1931,-5.20,-5.10,-2.84,1.82,8.32,9.55,15.56,13.26,7.49,3.64,1.94,-1.46
1932,0.72,-0.35,-1.70,2.14,7.57,11.94,16.02,14.35,8.72,2.09,-0.01,0.70
1933,-1.56,-4.97,-0.80,2.41,7.93,15.87,16.74,14.61,10.74,4.43,-1.85,-1.92
1934,0.61,-0.72,-0.83,2.64,9.03,12.66,17.02,15.62,12.20,5.05,0.18,-0.28
1935,-3.34,-2.77,-1.19,2.48,6.15,12.59,15.16,14.64,8.60,3.90,1.77,-1.84
1936,-4.49,-6.22,-1.63,1.53,9.90,15.38,15.91,14.68,9.52,3.07,1.09,1.27
1937,-2.41,-6.38,-3.73,4.82,10.39,13.18,17.79,17.20,9.84,6.66,-0.66,-4.93
1938,-2.31,0.42,2.13,3.51,7.65,11.85,16.55,16.20,11.40,6.23,2.74,-1.31
1939,-4.42,-0.15,-0.57,2.65,8.17,12.75,15.53,16.58,10.49,3.02,0.87,-4.88
1940,-7.19,-8.07,-3.84,2.06,11.23,14.86,14.58,13.11,8.71,4.42,-0.55,-3.43
1941,-9.24,-6.90,-2.80,1.62,7.82,13.05,18.65,13.37,9.44,2.70,-0.70,-4.21
1942,-10.99,-7.47,-4.47,3.92,7.11,11.52,14.80,14.22,9.57,4.05,0.95,-2.34
1943,-6.20,-0.19,2.51,3.36,8.74,13.91,15.80,13.11,9.97,5.60,0.18,-0.68
1944,-2.07,-2.07,-1.23,1.80,6.35,11.39,16.16,15.07,9.63,5.82,-0.38,-0.16
1945,-6.43,-2.47,1.24,4.03,7.89,12.45,17.47,16.51,9.67,3.98,-0.47,-3.27
1946,-2.86,-5.78,-1.71,4.22,9.18,12.28,16.58,14.86,10.78,4.00,0.16,-0.46
1947,-3.76,-10.67,-4.76,2.32,10.38,14.98,17.01,17.20,11.77,4.58,-2.29,-3.58
1948,-7.42,-2.75,2.06,5.09,9.62,12.53,16.73,13.31,9.85,3.79,0.73,1.52
1949,-0.62,0.16,-0.93,3.62,8.91,12.38,15.27,13.51,12.42,5.04,1.49,-1.84
1950,-5.12,-3.22,0.82,4.05,8.84,13.26,15.32,16.22,10.17,5.52,-1.06,-4.29
1951,-6.34,-3.75,-3.35,1.96,7.23,11.48,13.32,15.43,10.71,6.67,-0.29,0.10
1952,-4.45,-3.31,-2.35,4.74,8.19,11.96,14.60,12.75,7.74,2.28,-2.88,-4.55
1953,-3.62,-5.36,2.28,3.68,8.16,17.11,15.41,14.54,9.71,6.44,2.59,0.21
1954,-4.07,-6.51,-1.02,2.70,10.70,12.28,15.39,14.18,9.22,3.76,-0.54,-0.46
1955,-4.63,-6.48,-2.29,1.56,5.48,11.20,17.26,17.11,11.00,3.47,-0.10,-6.52
1956,-5.93,-6.91,-0.32,1.64,8.84,12.21,15.47,12.41,9.49,4.02,-2.12,-2.30
1957,-1.26,-4.19,-1.18,3.39,7.05,11.11,15.92,13.92,8.58,4.84,0.45,-2.36
1958,-5.85,-6.73,-4.03,1.90,6.32,13.08,14.48,14.68,11.32,6.25,2.49,-4.63
1959,-6.15,-0.38,2.17,3.53,9.26,13.88,16.43,16.05,10.03,5.27,1.39,-2.21
1960,-5.61,-6.03,0.32,3.95,10.45,13.84,15.72,14.97,10.43,1.87,-0.98,-3.28
1961,-4.85,-1.12,1.40,3.48,7.89,13.87,14.90,13.68,11.01,7.89,1.55,-4.80
1962,-3.17,-2.23,-4.20,3.14,6.50,11.06,13.48,12.29,8.94,5.87,-0.59,-4.62
1963,-5.88,-7.39,-2.59,3.31,10.51,13.68,14.46,14.67,10.76,5.30,-1.01,-2.68
1964,-0.96,-3.39,-0.04,3.71,9.20,11.40,13.72,13.19,8.73,5.35,-0.05,-2.30
1965,-4.49,-2.45,-1.60,3.34,6.69,12.63,13.20,13.07,10.69,5.74,-3.51,-7.45
1966,-8.72,-10.30,-2.54,0.47,7.36,15.44,15.09,13.53,8.06,3.41,-0.07,-3.15
1967,-6.88,-2.53,0.94,2.56,7.69,12.42,14.72,14.39,11.49,4.54,2.45,-5.25
1968,-6.87,-4.81,-0.39,3.78,6.27,13.93,14.36,14.94,9.95,2.24,-2.80,-2.82
