Variable:,tasmax
Country:,Türkiye
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,2.57,7.20,13.07,17.11,20.51,27.10,29.49,29.41,25.03,18.70,10.86,8.33
1902,5.71,6.97,10.18,15.49,20.57,25.45,28.73,30.08,25.08,18.49,8.42,3.41
1903,2.75,5.09,9.08,15.99,20.61,25.07,28.61,28.85,24.36,19.03,11.41,5.74
1904,1.05,7.40,8.75,13.65,19.19,24.40,28.78,28.94,24.90,19.36,10.96,4.75
1905,1.62,3.31,8.48,14.76,20.01,25.07,29.17,29.42,26.00,20.64,13.82,4.50
1906,3.35,5.73,11.19,15.30,21.15,25.74,28.56,28.07,23.92,18.13,11.92,6.76
1907,2.05,3.26,7.83,13.62,21.42,25.57,29.04,28.69,24.07,19.03,9.27,4.97
1908,2.33,6.12,8.70,14.70,20.70,25.53,28.20,28.99,25.79,17.82,8.86,3.02
1909,0.81,3.52,10.11,13.85,21.20,24.24,29.47,29.27,27.17,20.56,13.14,6.68
1910,4.88,7.49,9.20,15.82,20.36,24.94,28.96,28.66,25.38,18.29,12.61,4.98
1911,1.54,0.54,7.45,14.08,20.44,24.45,28.76,28.82,24.99,18.89,12.97,5.03
1912,3.01,6.47,11.63,14.75,18.58,25.11,27.64,28.21,26.13,17.58,11.96,5.81
1913,2.43,3.32,10.82,15.09,19.65,23.80,28.02,29.52,26.55,18.71,12.21,6.51
1914,3.89,6.85,12.30,14.36,20.06,24.57,28.92,28.33,23.87,17.96,9.00,5.24
1915,7.82,6.41,10.22,14.76,18.93,24.52,28.96,28.04,24.21,18.94,12.23,7.85
1916,4.13,6.10,11.34,15.54,20.84,25.75,29.20,28.37,24.03,18.95,12.72,6.99
1917,5.25,3.55,10.55,16.85,18.79,24.31,28.75,29.29,25.26,19.53,14.01,4.60
1918,4.30,4.84,9.15,14.15,19.41,24.06,28.31,28.44,27.14,22.38,11.89,6.10
1919,5.43,5.95,10.19,16.05,17.94,23.27,27.90,27.61,26.21,21.38,12.74,6.02
1920,4.50,1.12,9.93,16.08,20.63,25.27,29.08,30.13,24.81,16.02,8.42,2.75
1921,4.32,1.92,8.28,14.30,21.72,24.52,28.70,29.67,23.40,17.39,10.64,4.04
1922,3.59,4.90,11.56,15.63,21.06,25.15,29.61,28.94,25.02,19.56,11.94,5.30
1923,4.28,5.17,10.11,13.90,21.60,25.81,28.91,27.61,26.22,20.32,15.06,7.49
1924,2.97,4.40,9.41,15.04,21.15,27.03,28.88,29.34,27.39,18.15,10.77,3.13
1925,1.86,7.08,11.60,14.44,20.96,23.88,28.57,29.30,26.06,18.94,13.57,6.13
1926,3.83,4.87,8.39,16.15,21.35,25.74,28.61,27.76,23.37,19.90,13.81,6.33
1927,3.52,1.28,10.69,15.01,20.74,26.37,28.83,30.17,26.79,21.24,13.24,3.67
1928,2.74,1.96,5.71,17.53,21.42,25.06,29.63,28.85,25.95,17.87,13.91,5.81
1929,1.58,1.82,4.86,14.35,22.56,24.75,28.18,31.23,24.08,19.40,13.93,6.45
1930,5.10,5.52,11.92,16.19,20.36,24.03,29.52,29.95,25.65,19.41,12.56,7.36
1931,4.51,5.47,10.55,14.13,20.59,24.93,29.69,30.18,26.75,20.36,9.74,3.58
1932,2.05,2.94,9.22,15.96,20.84,26.39,28.99,29.56,26.31,23.80,11.10,4.81
1933,1.59,4.88,7.52,12.88,19.94,23.33,27.60,28.95,23.82,19.42,14.65,3.69
1934,2.30,3.14,11.67,16.45,20.81,25.40,29.31,29.36,25.29,19.79,13.34,5.74
1935,2.55,5.53,8.60,15.57,22.66,26.60,29.06,30.25,27.07,20.78,10.03,8.36
1936,6.82,6.69,11.23,16.64,18.94,23.83,29.29,29.68,23.95,19.48,12.72,4.46
1937,0.88,6.50,13.92,16.38,20.46,24.86,30.24,29.85,28.45,19.68,13.44,8.43
1938,3.61,4.14,8.12,14.50,20.54,25.68,30.33,30.74,24.80,20.55,11.88,7.04
1939,6.30,5.64,8.73,16.26,22.62,25.05,29.23,28.43,25.33,20.96,10.76,6.89
1940,2.34,6.02,8.80,15.84,18.73,24.93,29.49,29.07,25.58,19.50,13.90,6.32
1941,4.87,8.67,9.51,17.10,22.64,26.35,29.17,28.93,24.13,17.35,9.15,2.22
1942,1.03,5.44,7.30,14.20,21.47,27.19,28.97,28.94,25.11,18.08,11.17,4.94
1943,2.82,3.15,5.52,13.94,19.79,24.09,28.46,29.99,26.06,20.30,14.42,7.16
1944,2.62,6.43,10.47,15.69,19.19,25.86,28.96,28.07,25.66,20.27,12.50,5.84
1945,3.76,2.40,7.31,13.92,22.47,24.75,29.41,30.43,26.32,18.47,11.75,5.32
1946,3.32,5.35,8.38,15.42,19.86,25.30,28.99,30.06,27.28,16.80,14.38,5.81
1947,1.93,6.36,14.24,17.92,21.58,26.39,29.73,29.14,24.69,17.98,12.24,8.52
